name,consistency_rating_points,submission_rating_points,consistency_rating,submission_rating,final_rating
sarikamadugula2000,3.384436122,26,2.5,1.9,2.2
snehalkhalkar749,3.152073733,28,2.4,2,2.2
pandeyatul075,1.737425095,46,1.7,2.7,2.2
dheerajkvbhu1212,2.679012346,31,2.2,2.1,2.15
rajkumar.d408,2.254225465,36,2,2.3,2.15
rohinimate200,1.863263824,40,1.8,2.5,2.15
faizinazim786,3.609043286,17,2.6,1.6,2.1
snehapriyadarshi1,2.63044656,29,2.2,2,2.1
majhipraditya,2.58653132,31,2.1,2.1,2.1
liligupta6064,1.879581863,39,1.8,2.4,2.1
pg007135,1.635183554,41,1.7,2.5,2.1
annamjaswanth123,2.099328346,33,1.9,2.2,2.05
15tiwaridivyanshi,1.900760594,32,1.9,2.1,2
raki82933,1.880109422,33,1.9,2.1,2
nalinashay,2.331862662,25,2,1.9,1.95
architpandey075,1.850976797,29,1.8,2,1.9
ankitdhage13,2.380263852,19,2.1,1.6,1.85
sauputt999706,2.247498684,22,2,1.7,1.85
Avinashkumawat12,2.006926407,22,1.9,1.8,1.85
anirudhab2427,1.81310189,25,1.8,1.9,1.85
itengg1828,1.555470102,30,1.6,2,1.8
pachauriharshit333,2.339716488,14,2,1.5,1.75
chattopadhyayshankha,1.822053828,19,1.8,1.6,1.7
salman.dada41,1.631067297,25,1.6,1.8,1.7
ankit-joshi,1.796307117,19,1.7,1.7,1.7
asgupta236,1.423987921,20,1.6,1.7,1.65
abdulrehmank762,1.332655654,23,1.5,1.8,1.65
sandeepsahoo215,1.804778663,16,1.7,1.5,1.6
gousemohammed.smd,1.224056604,21,1.5,1.7,1.6
mukulgupta1806,0.881651032,24,1.4,1.8,1.6
ranjanrohit2611,1.634581105,15,1.6,1.5,1.55
ankitasingh84099,1.234519009,18,1.5,1.6,1.55
sakshikhare61,1.659451015,13,1.7,1.4,1.55
shindeprasad68,1.444779933,13,1.6,1.4,1.5
sgrprmnk,1.390689834,15,1.5,1.5,1.5
Saketece5089,1.122536658,17,1.4,1.6,1.5
guptha1526,0.47395958,21,1.3,1.7,1.5
dhotehimanshu87,1.081372549,11,1.4,1.4,1.4
surveshpandit0,1.133114754,6,1.4,1.3,1.35
aishwaryapandu8,1.061466942,5,1.4,1.3,1.35
hemantsai3,0.829247312,12,1.3,1.4,1.35
sumansaurabh863,0.81541769,5,1.3,1.3,1.3
anurag25497,0.700207469,3,1.3,1.3,1.3
panakantisanthoshrao,0.494120559,4,1.3,1.3,1.3
sanketkale97.sk,0.340776068,10,1.2,1.4,1.3
atifkhan8655,0.394508379,2,1.2,1.2,1.2
sivakadi9,0.198740246,2,1.2,1.2,1.2
jitinsharma.official,0.19708259,2,1.2,1.2,1.2
deepika579cse,0.196703767,3,1.2,1.2,1.2
saurabhkolarkar100,-0.210235921,-2,1.1,1.1,1.1
rajkganesh85,-0.338727889,-1,1,1.2,1.1
rushikeshmote333,-0.227012153,-2,1,1.1,1.05
224abhishekjha,-0.261171032,-2,1,1.1,1.05
jayeshmanapure95,0,-8,1.1,0.9,1
yashraj181999,-0.2708196,-5,1,1,1
moulaalihujare,-0.326443735,-4,1,1,1
manoj.kumar23571,-0.61413485,-3,0.9,1.1,1
jeetmehta12496,0,-16,1.1,0.8,0.95
arka.bhuin,-0.750426379,-4,0.8,1.1,0.95
parasnarula8,-0.536825726,-5,0.9,1,0.95
ssandhyassan7,0,-17,1.1,0.7,0.9
anup.er.07,-0.365452788,-7,0.9,0.9,0.9
hrithiktyagi1111,-0.683964791,-8,0.9,0.9,0.9
preetamchinde,-0.684774935,-14,0.9,0.8,0.85
sainkshitij1,-0.902973035,-9,0.8,0.9,0.85
shahabrar435,-0.992210321,-9,0.8,0.9,0.85
jagtapsushant0005,-0.920284136,-10,0.8,0.8,0.8
akshaykhollam98,-1.060578367,-11,0.7,0.8,0.75
add.fam2559,-1.198205007,-11,0.7,0.8,0.75
aijaj535,-2.187986652,-7,0.5,1,0.75
araj111197,-2.67961165,-6,0.5,1,0.75
kashyapraghu9526,-0.691767851,-27,0.8,0.6,0.7
mdev264,-1.435359622,-17,0.7,0.7,0.7
mbhavani412,-1.543466275,-17,0.7,0.7,0.7
saurabhsahni833,-1.654172015,-17,0.6,0.7,0.65
kotthasumanth,-1.742337354,-18,0.6,0.7,0.65
suyeshpandit,0,-101,1.1,0.1,0.6
nandykuntal1996,-1.127393264,-29,0.7,0.5,0.6
ekatanag17,-1.750711035,-26,0.6,0.6,0.6
ujjinigowdlar,-2.477277765,-25,0.5,0.6,0.55
kuldeepsoni3099,-3.654066438,-29,0.5,0.5,0.5
ajitesh.vishnoi,-4.005381166,-21,0.4,0.6,0.5
akshayrathore800,-4.144097222,-21,0.4,0.6,0.5
